edge_energy,edge_slope,wl_energy,wl_intensity,curvature_wl,pit_energy,pit_intensity,curvature_pit
6.549282449999999699e+03,-1.254284441809984855e+04,6.563045869999999923e+03,1.000000000000000000e+00,-4.268005554086684583e-04,6.571157339999999749e+03,9.027793261153481685e-01,6.738956138030438581e-05
6.549282449999999699e+03,-1.256108125344192013e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.247246157141280509e-04,6.570981039999999666e+03,9.036380847817658823e-01,3.146144619998458847e-04
6.549105919999999969e+03,-1.257701925893315092e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.698669528935770945e-04,6.570981039999999666e+03,9.048269212795397864e-01,2.024002146701897598e-04
6.549282449999999699e+03,-1.256672334290175604e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.923580747726250983e-04,6.571157339999999749e+03,9.052759837736771287e-01,-5.551115123125782702e-17
6.549105919999999969e+03,-1.255017122215856034e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.599765183717185124e-04,6.570981039999999666e+03,9.058661404457926114e-01,1.574897267876407270e-04
6.549282449999999699e+03,-1.255368668509491908e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.923690262778833038e-04,6.571509920000000420e+03,9.054523548867720040e-01,2.024093258846115795e-04
6.549282449999999699e+03,-1.259877588434511381e+04,6.562693100000000413e+03,1.000000000000000000e+00,-2.475198154463231770e-04,6.562869490000000042e+03,9.998199855887663912e-01,-6.750540421271433722e-05
6.549282449999999699e+03,-1.254908229498781111e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.151462436143115386e-04,6.570981039999999666e+03,9.075270879451609041e-01,3.151462436144225610e-04
6.549282449999999699e+03,-1.255008549405044323e+04,6.563045869999999923e+03,1.000000000000000000e+00,-5.176593826650144337e-04,6.570981039999999666e+03,9.073614774326480559e-01,2.250692968108480851e-04
6.549282449999999699e+03,-1.255631114101453386e+04,6.562869490000000042e+03,1.000000000000000000e+00,-6.752280177493852342e-05,6.570981039999999666e+03,9.082590199884600368e-01,1.800608047330953809e-04
6.549282449999999699e+03,-1.254420360519920723e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.927282607157744021e-04,6.571157339999999749e+03,9.083085017203866851e-01,4.503511703315976611e-05
6.549282449999999699e+03,-1.253409378580482007e+04,6.562693100000000413e+03,1.000000000000000000e+00,-1.802661963881957430e-04,6.562869490000000042e+03,9.999098669018060548e-01,-6.759982364562544532e-05
6.549282449999999699e+03,-1.254492201671519251e+04,6.563045869999999923e+03,1.000000000000000000e+00,-4.279607768091220343e-04,6.570804750000000240e+03,9.090020242995228150e-01,3.153395197541264405e-04
6.549282449999999699e+03,-1.256889007188545293e+04,6.562516719999999623e+03,1.000000000000000000e+00,-4.958208880035952504e-04,6.562869490000000042e+03,9.993689552334500403e-01,4.507462618205670957e-05
6.549282449999999699e+03,-1.254445523387413050e+04,6.562869490000000042e+03,1.000000000000000000e+00,-2.706130248268934224e-04,6.570981039999999666e+03,9.104270887823330272e-01,1.804086832178919408e-04
6.549282449999999699e+03,-1.254492918038504649e+04,6.562693100000000413e+03,1.000000000000000000e+00,-1.579062248167339977e-04,6.562869490000000042e+03,9.996390714861332905e-01,-5.551115123125782702e-17
6.549282449999999699e+03,-1.255058560344152647e+04,6.562516719999999623e+03,1.000000000000000000e+00,-3.835169192729082077e-04,6.562693100000000413e+03,9.997292821746309732e-01,-1.353589126845688995e-04
6.549105919999999969e+03,-1.255236481127702609e+04,6.562516719999999623e+03,1.000000000000000000e+00,-3.159986638493206268e-04,6.570981039999999666e+03,9.108883767944954135e-01,2.708559975851121404e-04
6.549282449999999699e+03,-1.255411086491623064e+04,6.562516719999999623e+03,1.000000000000000000e+00,-1.579495227622962350e-04,6.562693100000000413e+03,9.998194862597001853e-01,-1.353853052247777633e-04
6.549282449999999699e+03,-1.255425169445801839e+04,6.562693100000000413e+03,1.000000000000000000e+00,-1.128489752997008377e-04,6.562869490000000042e+03,9.998194416395205231e-01,-1.579885654195978262e-04
6.549282449999999699e+03,-1.255192807084382912e+04,6.562516719999999623e+03,1.000000000000000000e+00,-5.192333046175057198e-04,6.562869490000000042e+03,9.992775884457495428e-01,6.772608321101158957e-05
6.549282449999999699e+03,-1.256024168344873578e+04,6.562516719999999623e+03,1.000000000000000000e+00,-4.290298543901949202e-04,6.562869490000000042e+03,9.994580675523491164e-01,-6.774155595623554404e-05
